episode_index,split,length,length_bin,tasks
0,train,3919,4,0
1,train,3327,4,0
2,val,3378,4,0
3,train,3542,4,0
4,train,3464,4,0
5,train,3452,4,0
6,train,4161,4,0
7,train,4104,4,0
8,train,5416,4,0
9,train,2536,2,0
10,train,3484,4,0
11,train,3445,4,0
12,train,2945,3,0
13,train,2952,3,0
14,train,4032,4,0
15,train,4293,4,0
16,train,4205,4,0
17,train,3362,4,0
18,val,2840,3,0
19,train,3073,4,0
20,train,3101,4,0
21,val,3725,4,0
22,train,3985,4,0
23,val,2872,3,0
24,train,4238,4,0
25,train,2810,3,0
26,train,2763,3,0
27,train,2705,3,0
28,val,4278,4,0
29,train,2453,2,0
30,train,3561,4,0
31,train,2399,2,0
32,train,2881,3,0
33,train,3122,4,0
34,train,1999,0,0
35,train,3551,4,0
36,train,2789,3,0
37,train,1627,0,0
38,train,2810,3,0
39,train,2080,1,0
40,train,3348,4,0
41,train,2711,3,0
42,train,2618,2,0
43,train,5128,4,0
44,train,2535,2,0
45,train,3354,4,0
46,train,1923,0,0
47,val,2063,1,0
48,train,2052,0,0
49,train,2669,3,0
50,train,2520,2,0
51,train,2549,2,0
52,train,1853,0,0
53,train,2833,3,0
54,train,2663,3,0
55,train,1804,0,0
56,train,2787,3,0
57,train,2570,2,0
58,train,3264,4,0
59,train,1942,0,0
60,train,2331,1,0
61,train,2218,1,0
62,train,2515,2,0
63,train,3355,4,0
64,train,2591,2,0
65,train,2224,1,0
66,train,2445,2,0
67,train,2258,1,0
68,train,2671,3,0
69,train,2328,1,0
70,train,2231,1,0
71,train,2981,3,0
72,train,2332,1,0
73,train,2001,0,0
74,train,2538,2,0
75,val,2045,0,0
76,train,2079,1,0
77,train,2590,2,0
78,train,2311,1,0
79,train,3070,4,0
80,train,2493,2,0
81,train,2596,2,0
82,train,2600,2,0
83,train,2659,2,0
84,train,2200,1,0
85,train,2822,3,0
86,train,1934,0,0
87,train,3126,4,0
88,train,2528,2,0
89,train,2766,3,0
90,train,2770,3,0
91,train,3331,4,0
92,train,3873,4,0
93,val,2853,3,0
94,train,2624,2,0
95,train,2440,2,0
96,train,3178,4,0
97,train,2233,1,0
98,train,2577,2,0
99,train,3521,4,0
100,train,2790,3,0
101,train,2751,3,0
102,train,3362,4,0
103,train,2808,3,0
104,train,2738,3,0
105,train,2124,1,0
106,train,1894,0,0
107,train,2296,1,0
108,train,2779,3,0
109,train,2166,1,0
110,train,2779,3,0
111,train,2804,3,0
112,train,2667,3,0
113,train,2596,2,0
114,train,2273,1,0
115,val,2298,1,0
116,train,2115,1,0
117,train,1811,0,0
118,train,2197,1,0
119,train,1913,0,0
120,train,2572,2,0
121,val,2216,1,0
122,val,2645,2,0
123,train,2745,3,0
124,train,3056,3,0
125,train,1974,0,0
126,train,2178,1,0
127,train,1835,0,0
128,train,2031,0,0
129,train,2175,1,0
130,train,1680,0,0
131,train,2273,1,0
132,train,1615,0,0
133,train,4195,4,0
134,val,1806,0,0
135,val,2372,1,0
136,val,2717,3,0
137,train,3057,4,0
138,train,1868,0,0
139,train,2241,1,0
140,train,2486,2,0
141,train,2422,2,0
142,train,2296,1,0
143,train,2478,2,0
144,train,1971,0,0
145,val,2961,3,0
146,train,1958,0,0
147,train,2530,2,0
148,train,1793,0,0
149,train,2197,1,0
150,train,2835,3,0
151,train,2807,3,0
152,train,2572,2,0
153,train,2815,3,0
154,train,3372,4,0
155,train,3176,4,0
156,train,2786,3,0
157,train,2628,2,0
158,train,2357,1,0
159,train,4793,4,0
160,train,4828,4,0
161,train,3544,4,0
162,train,2229,1,0
163,train,2610,2,0
164,train,2853,3,0
165,train,2823,3,0
166,train,3169,4,0
167,train,3370,4,0
168,train,3164,4,0
169,train,2376,2,0
170,train,3426,4,0
171,train,2377,2,0
172,train,2513,2,0
173,train,3004,3,0
174,val,2455,2,0
175,train,3001,3,0
176,train,2716,3,0
177,train,3452,4,0
178,train,2446,2,0
179,val,2584,2,0
180,train,3037,3,0
181,train,1565,0,0
182,train,2394,2,0
183,train,1959,0,0
184,train,2988,3,0
185,val,1867,0,0
186,train,2115,1,0
187,train,2169,1,0
188,train,1953,0,0
189,train,1727,0,0
190,train,2003,0,0
191,train,2684,3,0
192,train,2164,1,0
193,train,2195,1,0
194,train,2058,0,0
195,train,2140,1,0
196,train,2098,1,0
197,train,2374,1,0
198,train,2711,3,0
199,val,1957,0,0
200,train,2256,1,0
201,train,2079,1,0
202,train,2089,1,0
203,train,2278,1,0
204,train,2453,2,0
205,train,2297,1,0
206,val,3248,4,0
207,val,2204,1,0
208,train,2051,0,0
209,train,2050,0,0
210,val,1876,0,0
211,train,2720,3,0
212,train,2000,0,0
213,train,2183,1,0
214,val,3139,4,0
215,train,2796,3,0
216,train,2640,2,0
217,train,2374,2,0
218,train,2132,1,0
219,train,2766,3,0
220,train,4210,4,0
221,train,2051,0,0
222,train,2528,2,0
223,train,2401,2,0
224,train,2488,2,0
225,train,1953,0,0
226,train,1873,0,0
227,train,2379,2,0
228,train,2607,2,0
229,val,2628,2,0
230,train,2571,2,0
231,train,1957,0,0
232,val,2396,2,0
233,train,2127,1,0
234,train,2097,1,0
235,train,1971,0,0
236,train,2205,1,0
237,train,2097,1,0
238,train,2082,1,0
239,train,3094,4,0
240,train,1638,0,0
241,train,1847,0,0
242,train,2172,1,0
243,train,3053,3,0
244,train,2561,2,0
245,train,3412,4,0
246,train,2426,2,0
247,train,1753,0,0
248,train,1827,0,0
249,train,2783,3,0
250,train,1822,0,0
251,train,3090,4,0
252,val,2460,2,0
253,train,3132,4,0
254,train,3097,4,0
255,train,1883,0,0
256,train,1970,0,0
257,train,2560,2,0
258,val,2915,3,0
259,train,2737,3,0
260,train,3753,4,0
261,train,1947,0,0
262,train,1864,0,0
263,train,2545,2,0
264,val,3322,4,0
265,val,2135,1,0
266,train,2484,2,0
267,train,2425,2,0
268,train,3074,4,0
269,train,1760,0,0
270,train,3035,3,0
271,train,2175,1,0
272,train,1892,0,0
273,train,2985,3,0
274,train,2775,3,0
275,train,1953,0,0
276,train,1884,0,0
277,train,2350,1,0
278,train,2232,1,0
279,train,2367,1,0
280,train,2598,2,0
281,train,2723,3,0
282,train,2403,2,0
283,train,3965,4,0
284,train,2389,2,0
285,train,2168,1,0
286,train,1907,0,0
287,train,1997,0,0
288,train,2645,2,0
289,train,1979,0,0
290,val,1836,0,0
291,train,2902,3,0
292,train,1976,0,0
293,train,2860,3,0
294,train,2075,1,0
295,train,1744,0,0
296,train,2084,1,0
297,train,2769,3,0
298,train,2310,1,0
299,train,1928,0,0
